student firstname,student surname,student id,student email,year,address,contact number,module id,module name,leader,lecturer1,lecturer2,exam mark,coursework1,coursework2,coursework3
James,Patterson,51673505,JP8Y25@UoNEHT.ac.uk,3,"44104 Sharon Neck
Ryanfurt, MH 57888",,FREN3406,Mastering French Literature,MS4Z1@UoNEHT.ac.uk,,,36.0,12.0,,
Alicia,Baker,58480841,AB11Y25@UoNEHT.ac.uk,3,"727 Saunders Spur
Kathleenside, PR 29694",514.415.3926x1183,ENG3403,Field English Literature,JS2Z1@UoNEHT.ac.uk,CC1Z1@UoNEHT.ac.uk,,,30.0,14.0,17.0
Lisa,Harris,142073448,LH8Y25@UoNEHT.ac.uk,1,"3819 Stone Run
New Kyle, NE 41561",806-216-3204x738,ELEC1401,Basic Design,AP1Z1@UoNEHT.ac.uk,,,28.0,4.0,0.0,
Teresa,Bradford,97275819,TB7Y25@UoNEHT.ac.uk,2,"22701 Nathan Crescent
Hartmanhaven, CT 75976",001-919-702-0821x5608,GER2405,Intermediate German Grammar,FF1Z1@UoNEHT.ac.uk,JJ2Z1@UoNEHT.ac.uk,BW2Z1@UoNEHT.ac.uk,43.0,8.0,,
Melissa,Rich,15288197,MR3Y25@UoNEHT.ac.uk,4,"7425 Cross Ferry
West Matthewside, MI 87525",747-421-7191,FREN4404,Mastering French Grammar,DS1Z1@UoNEHT.ac.uk,TB1Z1@UoNEHT.ac.uk,,65.0,9.0,,
Gerald,Bridges,81239791,GB7Y25@UoNEHT.ac.uk,2,"817 Bird Square
South Sonya, VI 92055",001-962-216-4570x939,ANIM2403,Intermediate Blending,JB1Z1@UoNEHT.ac.uk,,,19.0,6.0,,
Stephanie,Dixon,59627506,SD4Y25@UoNEHT.ac.uk,3,"85804 Hayley Squares Suite 829
East Leah, SC 62503",+1-266-263-2982x0228,ENG3404,Advanced Formal Speech,AE1Z1@UoNEHT.ac.uk,RC1Z1@UoNEHT.ac.uk,,,36.0,11.0,
Nicole,Zimmerman,43125483,NZ1Y25@UoNEHT.ac.uk,3,"7922 Miller Turnpike
East Robertberg, AL 77495",001-952-975-8593,FINE3403,Advanced Landscapes,DG1Z1@UoNEHT.ac.uk,HS1Z1@UoNEHT.ac.uk,,,20.0,2.0,7.0
Melanie,Jones,71180351,MJ9Y25@UoNEHT.ac.uk,3,"63984 Bennett Inlet Suite 373
Jeremyport, SD 77169",,ELEC3405,Field Design,LN1Z1@UoNEHT.ac.uk,,,53.0,39.0,,
Stephen,Brown,14961521,SB5Y25@UoNEHT.ac.uk,4,"584 Guzman Islands Suite 492
Lake Samuel, DE 79399",571.332.5954x012,FREN4406,Theoretical Formal Speech,KC1Z1@UoNEHT.ac.uk,TM2Z1@UoNEHT.ac.uk,YC1Z1@UoNEHT.ac.uk,42.0,,,
Christina,Fletcher,107325303,CF7Y25@UoNEHT.ac.uk,2,"0451 Ortiz Burg Apt. 167
New Johnmouth, CT 22911",+1-682-537-6590,ELEC2402,Structured Design,SW2Z1@UoNEHT.ac.uk,,,5.0,,,
Brianna,Hicks,27945281,BH7Y25@UoNEHT.ac.uk,4,"1909 Teresa Run Suite 495
Port Jackmouth, ID 62449",,COMP4404,Master's Software,CJ1Z1@UoNEHT.ac.uk,,,4.0,3.0,3.0,15.0
Connie,Schmidt,103243647,CS10Y25@UoNEHT.ac.uk,2,"3153 Joseph Rest
Rayburgh, NM 74012",001-952-855-0734x060,COMP2403,Advanced Software,JS4Z1@UoNEHT.ac.uk,MN1Z1@UoNEHT.ac.uk,,14.0,6.0,,
Brad,Miller,48710900,BM8Y25@UoNEHT.ac.uk,3,"99579 Lori Square Suite 019
Josemouth, KS 74553",668.443.1720,FREN3403,Practical Formal Speech,BE1Z1@UoNEHT.ac.uk,,,40.0,,,
Carrie,Richardson,137045323,CR16Y25@UoNEHT.ac.uk,1,"961 Barbara Parkway Apt. 037
Port Colleenland, MO 40694",001-618-273-7748,COMP1403,Beginner's Algorithms,KW2Z1@UoNEHT.ac.uk,JG6Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,1.0,9.0,7.0,
Kevin,Lutz,105993134,KL5Y25@UoNEHT.ac.uk,2,"2418 Hensley Extensions
Rebeccaburgh, CA 09773",+1-543-655-1550,ELEC2404,Intermediate Programming,EH2Z1@UoNEHT.ac.uk,,,,18.0,22.0,7.0
David,Clark,98968560,DC11Y25@UoNEHT.ac.uk,2,"USCGC Bender
FPO AP 65237",001-854-623-8258x999,GER2405,Intermediate German Grammar,FF1Z1@UoNEHT.ac.uk,JJ2Z1@UoNEHT.ac.uk,BW2Z1@UoNEHT.ac.uk,1.0,8.0,,
Melissa,Maynard,58878296,MM14Y25@UoNEHT.ac.uk,3,"0721 Zoe Oval Suite 937
Whitefort, UT 50706",(269)921-0958x9349,ENG3402,Mastering Wider Media,MB1Z1@UoNEHT.ac.uk,,,19.0,18.0,,
Brent,Hancock,33679949,BH8Y25@UoNEHT.ac.uk,4,"665 William Hill
Port David, MO 73555",978.458.3132,ELEC4402,Master's Microsystems,LN1Z1@UoNEHT.ac.uk,AD2Z1@UoNEHT.ac.uk,CJ1Z1@UoNEHT.ac.uk,44.0,2.0,3.0,
Pamela,Morales,99665977,PM7Y25@UoNEHT.ac.uk,2,"Unit 0383 Box 4528
DPO AE 44372",+1-367-537-6812x49009,COMP2401,Intermediate Design,FM1Z1@UoNEHT.ac.uk,LP1Z1@UoNEHT.ac.uk,TM3Z1@UoNEHT.ac.uk,,50.0,1.0,
Brandon,Barnes,120147183,BB9Y25@UoNEHT.ac.uk,1,"26673 Bowen Summit Apt. 656
Hansenside, AS 25831",302.552.7153,FREN1404,Basic French Literature,RR1Z1@UoNEHT.ac.uk,,,77.0,2.0,7.0,5.0
Kelly,Vasquez,110965434,KV3Y25@UoNEHT.ac.uk,1,"8678 Larry Way Suite 769
New Sierrafurt, RI 75516",001-538-485-8181x74587,FINE1403,Beginner's Painting,AM1Z1@UoNEHT.ac.uk,MS5Z1@UoNEHT.ac.uk,,42.0,2.0,9.0,2.0
Christine,Wright,129362975,CW24Y25@UoNEHT.ac.uk,1,"15911 Reed Shoals Suite 721
Jonfort, MS 21633",516.285.2070x4127,GER1401,Early German Grammar,DB2Z1@UoNEHT.ac.uk,AG1Z1@UoNEHT.ac.uk,,57.0,0.0,8.0,2.0
Jeffery,Boyd,71666587,JB10Y25@UoNEHT.ac.uk,3,"47072 Thomas Plain
Youngshire, NY 19027",,ELEC3407,Practical Statistics,SA2Z1@UoNEHT.ac.uk,AW1Z1@UoNEHT.ac.uk,RM1Z1@UoNEHT.ac.uk,,32.0,13.0,28.0
Pamela,Parker,108357558,PP8Y25@UoNEHT.ac.uk,2,"USCGC Wilson
FPO AE 14647",,ELEC2407,Intermediate Microsystems,MJ1Z1@UoNEHT.ac.uk,MW4Z1@UoNEHT.ac.uk,,51.0,3.0,0.0,
Courtney,Bradshaw,59879355,CB6Y25@UoNEHT.ac.uk,3,"6603 Wolfe Wells
Jamesfort, AR 29656",(481)364-4512,ENG3406,Field Rhetoric,MD1Z1@UoNEHT.ac.uk,,,25.0,10.0,,
Brandon,Hatfield,93974659,BH11Y25@UoNEHT.ac.uk,2,"Unit 3844 Box 5087
DPO AA 17798",(322)329-6499,ENG2403,Prototypical English Literature,KC1Z1@UoNEHT.ac.uk,NW1Z1@UoNEHT.ac.uk,SL1Z1@UoNEHT.ac.uk,,10.0,7.0,18.0
Jacob,Howell,71090941,JH26Y25@UoNEHT.ac.uk,3,"50275 Gary Ways
Gailport, OH 73159",001-677-398-0166x073,ELEC3406,Field Hardware,CL1Z1@UoNEHT.ac.uk,CH1Z1@UoNEHT.ac.uk,MJ1Z1@UoNEHT.ac.uk,30.0,32.0,,
Julie,Sexton,103813009,JS34Y25@UoNEHT.ac.uk,2,"81436 George Meadow Apt. 102
Meaganside, AK 83574",515.857.6051x41178,COMP2405,Advanced Statistics,BM1Z1@UoNEHT.ac.uk,KR1Z1@UoNEHT.ac.uk,EF1Z1@UoNEHT.ac.uk,74.0,,,
Catherine,Greene,67608564,CG7Y25@UoNEHT.ac.uk,3,"838 Young Meadows Suite 970
North Rhondaport, TN 24255",829.653.3133x32622,COMP3404,Practical Modelling,CJ1Z1@UoNEHT.ac.uk,JL2Z1@UoNEHT.ac.uk,,24.0,7.0,1.0,11.0
Jason,Santos,90778692,JS30Y25@UoNEHT.ac.uk,2,"57306 Alexandria Mountains Apt. 140
East Williamberg, CA 69566",855-592-6629x29846,ENG2406,Structured English Grammar,RM3Z1@UoNEHT.ac.uk,,,36.0,7.0,,
Billy,Turner,99379657,BT5Y25@UoNEHT.ac.uk,2,"07814 Richard Gardens Apt. 180
East Leslie, NJ 71628",(981)630-5986x40467,GER2404,Intermediate German Literature,LC1Z1@UoNEHT.ac.uk,DM3Z1@UoNEHT.ac.uk,,25.0,5.0,,
Lisa,Smith,18191705,LS3Y25@UoNEHT.ac.uk,4,"825 Jesus Stream
Lisamouth, IL 58052",239-221-6084x87390,ENG4402,Master's English Grammar,DS1Z1@UoNEHT.ac.uk,NC1Z1@UoNEHT.ac.uk,,13.0,3.0,4.0,
Joseph,Mason,49869644,JM16Y25@UoNEHT.ac.uk,3,"24419 Todd Harbor Suite 352
South Georgeberg, IA 73555",484.869.6674x048,FREN3401,Advanced Wider Media,LG1Z1@UoNEHT.ac.uk,MM3Z1@UoNEHT.ac.uk,,35.0,,,
Adam,Gordon,33242282,AG4Y25@UoNEHT.ac.uk,4,"7723 Paula Glen
West Joseph, GA 92653",(313)770-3311,ELEC4401,Master's Design,JW2Z1@UoNEHT.ac.uk,CT1Z1@UoNEHT.ac.uk,,78.0,9.0,,
Michael,Chen,28142966,MC4Y25@UoNEHT.ac.uk,4,"1005 Omar Radial Apt. 496
Theresafort, KY 35955",+1-278-752-4870x594,COMP4405,Theoretical Statistics,JJ1Z1@UoNEHT.ac.uk,RR2Z1@UoNEHT.ac.uk,,17.0,18.0,,
Vickie,Quinn,44569755,VQ1Y25@UoNEHT.ac.uk,3,"74237 Malone Harbors Apt. 367
Jonesmouth, KY 65227",,ANIM3403,Practical Animation,JD2Z1@UoNEHT.ac.uk,NL1Z1@UoNEHT.ac.uk,MA1Z1@UoNEHT.ac.uk,7.0,25.0,1.0,25.0
Aaron,Rios,37514432,AR7Y25@UoNEHT.ac.uk,4,"01715 Shannon Square Suite 611
Justinbury, HI 18098",538.501.7349x8697,ELEC4403,Mastering Programming,RR2Z1@UoNEHT.ac.uk,,,69.0,,,
Maria,Lane,51496848,ML3Y25@UoNEHT.ac.uk,3,,612.998.0587x649,FREN3401,Advanced Wider Media,LG1Z1@UoNEHT.ac.uk,MM3Z1@UoNEHT.ac.uk,,100.0,,,
Alexander,Walsh,11850306,AW2Y25@UoNEHT.ac.uk,4,"Unit 5725 Box 3028
DPO AP 52600",599.269.0889x8067,FREN4404,Mastering French Grammar,DS1Z1@UoNEHT.ac.uk,TB1Z1@UoNEHT.ac.uk,,28.0,13.0,,
Teresa,Smith,134575928,TS10Y25@UoNEHT.ac.uk,1,"19535 Harrison Ville
Kentland, TX 86237",546.280.1855x2679,COMP1403,Beginner's Algorithms,KW2Z1@UoNEHT.ac.uk,JG6Z1@UoNEHT.ac.uk,CV1Z1@UoNEHT.ac.uk,45.0,3.0,2.0,
David,Jenkins,107915851,DJ5Y25@UoNEHT.ac.uk,2,"163 Rachel Villages
Thompsonfort, NY 69154",456.825.8562x774,ELEC2405,Intermediate Hardware,JB5Z1@UoNEHT.ac.uk,,,4.0,9.0,5.0,16.0
Frank,Foster,99163069,FF1Y25@UoNEHT.ac.uk,2,"86958 Robert Tunnel Suite 088
Carolfort, HI 14203",,GER2407,Advanced Rhetoric,MH2Z1@UoNEHT.ac.uk,SL1Z1@UoNEHT.ac.uk,,61.0,8.0,,
Brian,Parker,5870882,BP1Y25@UoNEHT.ac.uk,4,"317 Brittney Underpass Apt. 537
South Daniel, HI 28731",645-633-6204,FINE4401,Master's Painting,TH1Z1@UoNEHT.ac.uk,,,,45.0,41.0,
Maria,Tate,62279901,MT3Y25@UoNEHT.ac.uk,3,"77753 Louis River Suite 958
Edwardport, MH 64263",497-698-1407x5086,GER3407,Field Wider Media,BE2Z1@UoNEHT.ac.uk,JM3Z1@UoNEHT.ac.uk,,,17.0,17.0,0.0
Bradley,Chapman,24860776,BC1Y25@UoNEHT.ac.uk,4,"USNV Tucker
FPO AA 45436",700.880.7817x87884,GER4401,Expert Formal Speech,TM1Z1@UoNEHT.ac.uk,,,14.0,12.0,21.0,6.0
Christopher,Parker,86044055,CP6Y25@UoNEHT.ac.uk,2,"6477 Billy Brooks
Williamschester, MO 58266",7022866043,FREN2403,Prototypical French Literature,JL1Z1@UoNEHT.ac.uk,AL1Z1@UoNEHT.ac.uk,CS1Z1@UoNEHT.ac.uk,12.0,19.0,11.0,17.0
Jessica,Kennedy,88818558,JK5Y25@UoNEHT.ac.uk,2,"4076 Mcclain Center Apt. 247
Jonesbury, OH 60206",,FREN2402,Prototypical Rhetoric,EH1Z1@UoNEHT.ac.uk,JC4Z1@UoNEHT.ac.uk,,,27.0,32.0,19.0
John,Marshall,35898219,JM12Y25@UoNEHT.ac.uk,4,"2138 Horton Glen
North Stevenhaven, WV 08471",2887338183,ELEC4401,Master's Design,JW2Z1@UoNEHT.ac.uk,CT1Z1@UoNEHT.ac.uk,,80.0,8.0,,
Matthew,Graham,24576718,MG4Y25@UoNEHT.ac.uk,4,"475 Sydney Grove
Robertborough, MN 03506",+1-390-682-5932x673,GER4406,Expert German Grammar,NW1Z1@UoNEHT.ac.uk,,,81.0,,,
James,Long,102917019,JL10Y25@UoNEHT.ac.uk,2,"3119 Andre Road Apt. 622
Courtneyhaven, GA 56821",686.440.2979,COMP2405,Advanced Statistics,BM1Z1@UoNEHT.ac.uk,KR1Z1@UoNEHT.ac.uk,EF1Z1@UoNEHT.ac.uk,51.0,,,
Gabrielle,Sanchez,92610939,GS1Y25@UoNEHT.ac.uk,2,"0632 Berry Port
Davidport, MD 31679",(946)858-8549,ENG2401,Prototypical Poetics,CC1Z1@UoNEHT.ac.uk,JS2Z1@UoNEHT.ac.uk,,45.0,5.0,9.0,
Lisa,Watson,13875034,LW2Y25@UoNEHT.ac.uk,4,"733 Torres Plains Apt. 112
East Lauren, SD 93439",,FREN4407,Expert Creative Writing,NY1Z1@UoNEHT.ac.uk,EM1Z1@UoNEHT.ac.uk,,,7.0,50.0,
Maria,Hoffman,74697013,MH16Y25@UoNEHT.ac.uk,3,"080 Becky Lake Apt. 425
East Loritown, DC 99752",308-836-1216x500,ELEC3405,Field Design,LN1Z1@UoNEHT.ac.uk,,,44.0,2.0,,
Jennifer,Nixon,94949642,JN6Y25@UoNEHT.ac.uk,2,"4816 Chapman Crossing
Savageton, VT 56343",980-899-4470x3032,GER2405,Intermediate German Grammar,FF1Z1@UoNEHT.ac.uk,JJ2Z1@UoNEHT.ac.uk,BW2Z1@UoNEHT.ac.uk,29.0,20.0,,
Audrey,Ward,112571927,AW21Y25@UoNEHT.ac.uk,1,"705 Arnold Drives Apt. 892
East Erikland, PA 03286",666.988.2518,FINE1405,Early Portraits,HR1Z1@UoNEHT.ac.uk,RJ1Z1@UoNEHT.ac.uk,,27.0,1.0,5.0,5.0
Brian,Bradshaw,103606417,BB7Y25@UoNEHT.ac.uk,2,"411 Ashley Place Suite 167
Villanuevaside, AR 28627",791.998.0912,COMP2407,Prototypical Programming,GB1Z1@UoNEHT.ac.uk,,,70.0,15.0,,
Michael,Mckee,7530852,MM2Y25@UoNEHT.ac.uk,4,"8356 Meghan Ridge
New Nicholasbury, GA 87300",,ANIM4401,Master's Animation,SC1Z1@UoNEHT.ac.uk,,,44.0,36.0,,
Logan,Henson,87153143,LH5Y25@UoNEHT.ac.uk,2,"916 Tim Pike
Acostatown, PW 68236",,FREN2402,Prototypical Rhetoric,EH1Z1@UoNEHT.ac.uk,JC4Z1@UoNEHT.ac.uk,,,1.0,30.0,20.0
Daniel,Collins,139597625,DC15Y25@UoNEHT.ac.uk,1,"2384 Allen Knoll Apt. 802
Paulmouth, NJ 70639",4588545501,ELEC1406,Early Programming,JY1Z1@UoNEHT.ac.uk,MC1Z1@UoNEHT.ac.uk,,44.0,0.0,4.0,2.0
Tammy,Cooper,126049088,TC16Y25@UoNEHT.ac.uk,1,"291 Benson Shores
Dillonfort, PR 71081",,ENG1405,Foundational Creative Writing,CS1Z1@UoNEHT.ac.uk,CB2Z1@UoNEHT.ac.uk,,39.0,4.0,5.0,4.0
Cynthia,Edwards,56004176,CE2Y25@UoNEHT.ac.uk,3,"679 Torres Mill
North Jessica, NE 52018",,ENG3406,Field Rhetoric,MD1Z1@UoNEHT.ac.uk,,,19.0,12.0,,
Brian,Coleman,125560295,BC9Y25@UoNEHT.ac.uk,1,"451 Steele Villages Suite 210
Gravesborough, AR 66054",755-654-5784x22371,ENG1405,Foundational Creative Writing,CS1Z1@UoNEHT.ac.uk,CB2Z1@UoNEHT.ac.uk,,33.0,2.0,10.0,2.0
Kevin,Smith,32063952,KS3Y25@UoNEHT.ac.uk,4,"201 Carlson Street
West Gary, GU 76360",(785)487-4727x056,ELEC4407,Master's Ethics and Standards,MW1Z1@UoNEHT.ac.uk,PG2Z1@UoNEHT.ac.uk,TW1Z1@UoNEHT.ac.uk,56.0,0.0,8.0,
Ann,Jackson,107038665,AJ12Y25@UoNEHT.ac.uk,2,"5966 Morgan Avenue Apt. 166
Amberport, MA 74512",,ELEC2401,Prototypical Ethics and Standards,AD2Z1@UoNEHT.ac.uk,,,52.0,15.0,,
Jason,Rice,127582929,JR26Y25@UoNEHT.ac.uk,1,"066 Michael Locks Suite 177
East Christopher, GU 50973",494.970.3621x7155,ENG1407,Early English Grammar,RW1Z1@UoNEHT.ac.uk,,,36.0,3.0,10.0,
Karen,Clark,70622418,KC7Y25@UoNEHT.ac.uk,3,"4199 Virginia Cape
Roseberg, AK 25833",001-570-668-4948,ELEC3407,Practical Statistics,SA2Z1@UoNEHT.ac.uk,AW1Z1@UoNEHT.ac.uk,RM1Z1@UoNEHT.ac.uk,,10.0,13.0,25.0
Ashley,Hoffman,133279430,AH13Y25@UoNEHT.ac.uk,1,"29056 Glenn Avenue
Warnermouth, FL 68536",983-775-3512,GER1406,Early German Literature,MS3Z1@UoNEHT.ac.uk,,,50.0,4.0,0.0,
Heather,Dunlap,26289857,HD2Y25@UoNEHT.ac.uk,4,"0423 Ashley Road
Lake Robertmouth, IA 46162",993-935-8009x55496,GER4403,Master's Creative Writing,RW1Z1@UoNEHT.ac.uk,,,53.0,3.0,9.0,
Karen,Lara,128374760,KL8Y25@UoNEHT.ac.uk,1,"423 Mcmillan Turnpike
Laramouth, MD 32529",,ENG1407,Early English Grammar,RW1Z1@UoNEHT.ac.uk,,,61.0,3.0,2.0,
Ann,Riley,95268510,AR15Y25@UoNEHT.ac.uk,2,"5605 Christopher Corner Apt. 496
Jasonborough, SD 22657",379.990.7690x8939,GER2403,Advanced Poetics,AL1Z1@UoNEHT.ac.uk,,,57.0,17.0,,
Patricia,Adams,7066797,PA2Y25@UoNEHT.ac.uk,4,"494 Sanders Falls
New John, PA 64199",(694)632-9619x750,ANIM4405,Mastering Lighting,HS1Z1@UoNEHT.ac.uk,SC1Z1@UoNEHT.ac.uk,MS1Z1@UoNEHT.ac.uk,78.0,8.0,9.0,
Samuel,Vazquez,128269174,SV3Y25@UoNEHT.ac.uk,1,"577 Breanna Meadows
Williammouth, MH 07656",,ENG1402,Basic Poetics,AH3Z1@UoNEHT.ac.uk,,,44.0,12.0,,
Kelly,Matthews,56323029,KM5Y25@UoNEHT.ac.uk,3,"406 Nancy Ways Apt. 155
Josephbury, MT 96261",(293)258-1098x0254,ENG3406,Field Rhetoric,MD1Z1@UoNEHT.ac.uk,,,31.0,10.0,,
Brandon,Barnes,120147183,BB9Y25@UoNEHT.ac.uk,1,"26673 Bowen Summit Apt. 656
Hansenside, AS 25831",302.552.7153,FREN1406,Beginner's Creative Writing,KS3Z1@UoNEHT.ac.uk,ML1Z1@UoNEHT.ac.uk,,35.0,16.0,,
Jessica,Kennedy,88818558,JK5Y25@UoNEHT.ac.uk,2,"4076 Mcclain Center Apt. 247
Jonesbury, OH 60206",,FREN2401,Advanced Wider Media,MS4Z1@UoNEHT.ac.uk,,,,29.0,0.0,
Nicole,Medina,34613103,NM4Y25@UoNEHT.ac.uk,4,"378 Gonzalez Wells Apt. 501
West Laura, CA 11357",378-297-7233x25345,ELEC4406,Theoretical Modelling,JS3Z1@UoNEHT.ac.uk,,,94.0,,,
Tonya,Hunt,49357032,TH4Y25@UoNEHT.ac.uk,3,"6811 Sarah Landing Suite 534
Kylemouth, CT 15063",,FREN3404,Advanced French Grammar,MS3Z1@UoNEHT.ac.uk,,,47.0,28.0,,
James,Mosley,103078163,JM38Y25@UoNEHT.ac.uk,2,"65763 Harris Court
Michaelview, WV 84847",,COMP2403,Advanced Software,JS4Z1@UoNEHT.ac.uk,MN1Z1@UoNEHT.ac.uk,,39.0,12.0,,
Matthew,Robinson,57432876,MR8Y25@UoNEHT.ac.uk,3,"152 Valerie Way Apt. 213
Rogerschester, WI 22631",+1-845-202-2980x6957,ENG3406,Field Rhetoric,MD1Z1@UoNEHT.ac.uk,,,67.0,1.0,,
Paul,Webster,35430822,PW3Y25@UoNEHT.ac.uk,4,"Unit 7575 Box 4928
DPO AA 83235",+1-252-775-3550x0951,ELEC4406,Theoretical Modelling,JS3Z1@UoNEHT.ac.uk,,,42.0,,,
Casey,Owen,138096140,CO6Y25@UoNEHT.ac.uk,1,"USCGC Franklin
FPO AP 96625",849.908.5520,COMP1402,Early Design,GB1Z1@UoNEHT.ac.uk,,,76.0,2.0,9.0,
Claudia,Jones,104912965,CJ11Y25@UoNEHT.ac.uk,2,"174 Gregory Mission Suite 743
East Chelseaport, ME 95966",,ELEC2404,Intermediate Programming,EH2Z1@UoNEHT.ac.uk,,,,4.0,21.0,23.0
Jason,Wells,17482980,JW7Y25@UoNEHT.ac.uk,4,"404 Barnett Canyon
Paigemouth, MD 42785",(284)759-3013x898,FREN4401,Expert Poetics,JM1Z1@UoNEHT.ac.uk,,,,33.0,9.0,19.0
Robin,Webb,107224214,RW7Y25@UoNEHT.ac.uk,2,"564 Ronnie Viaduct
Allenview, MO 08431",995-530-4051x45357,ELEC2406,Intermediate Statistics,AW1Z1@UoNEHT.ac.uk,,,10.0,1.0,3.0,
Brian,Hahn,13412374,BH2Y25@UoNEHT.ac.uk,4,"68232 Gardner Valley
North Brittanyborough, ND 62012",+1-536-265-5849x82415,FREN4403,Mastering Wider Media,MM1Z1@UoNEHT.ac.uk,JC1Z1@UoNEHT.ac.uk,,45.0,13.0,,
Patricia,Harris,25567126,PH2Y25@UoNEHT.ac.uk,4,"58430 James Highway Suite 496
Caldwellport, NY 86490",353.957.1695x383,GER4404,Expert Rhetoric,JC1Z1@UoNEHT.ac.uk,,,,40.0,5.0,
Matthew,Oneal,95121859,MO6Y25@UoNEHT.ac.uk,2,"6915 Hooper Park
North David, DC 59575",,GER2407,Advanced Rhetoric,MH2Z1@UoNEHT.ac.uk,SL1Z1@UoNEHT.ac.uk,,56.0,18.0,,
Daniel,Taylor,24382244,DT3Y25@UoNEHT.ac.uk,4,"70710 Jeffrey Meadow
Johnview, MP 40034",+1-488-838-1943x905,GER4407,Master's Poetics,JW1Z1@UoNEHT.ac.uk,,,2.0,16.0,18.0,9.0
Natalie,Meyer,60778457,NM6Y25@UoNEHT.ac.uk,3,"0937 Stafford Route
Jessicatown, VI 20073",,GER3403,Mastering Poetics,AT2Z1@UoNEHT.ac.uk,JD3Z1@UoNEHT.ac.uk,EM1Z1@UoNEHT.ac.uk,41.0,2.0,,
Brandon,Reed,81086382,BR4Y25@UoNEHT.ac.uk,2,"9497 Fields Square Apt. 199
Watsonbury, NH 15140",(963)788-5811,ANIM2405,Prototypical Modelling,SA1Z1@UoNEHT.ac.uk,AM1Z1@UoNEHT.ac.uk,CC3Z1@UoNEHT.ac.uk,96.0,,,
Sean,Gregory,96029028,SG9Y25@UoNEHT.ac.uk,2,"8042 Howard Park Apt. 984
Yodermouth, CT 73399",,GER2401,Prototypical Creative Writing,MS3Z1@UoNEHT.ac.uk,,,67.0,,,
Mario,Martinez,130281849,MM27Y25@UoNEHT.ac.uk,1,"1878 Carly Wells Suite 903
Madelinefort, SD 91513",707.343.1536x573,GER1403,Early Wider Media,JM8Z1@UoNEHT.ac.uk,JM3Z1@UoNEHT.ac.uk,BW2Z1@UoNEHT.ac.uk,68.0,5.0,8.0,
Andrea,Mcpherson,17148798,AM5Y25@UoNEHT.ac.uk,4,"USCGC Fields
FPO AA 85011",694.790.1554,FREN4404,Mastering French Grammar,DS1Z1@UoNEHT.ac.uk,TB1Z1@UoNEHT.ac.uk,,64.0,6.0,,
Samantha,Pena,101482196,SP11Y25@UoNEHT.ac.uk,2,"333 Bush Squares Apt. 949
Ballardhaven, NE 66788",,COMP2407,Prototypical Programming,GB1Z1@UoNEHT.ac.uk,,,16.0,20.0,,
Aaron,Rios,37514432,AR7Y25@UoNEHT.ac.uk,4,"01715 Shannon Square Suite 611
Justinbury, HI 18098",538.501.7349x8697,ELEC4401,Master's Design,JW2Z1@UoNEHT.ac.uk,CT1Z1@UoNEHT.ac.uk,,7.0,5.0,,
Gerald,Christensen,102481976,GC4Y25@UoNEHT.ac.uk,2,"09622 Diaz Avenue
Barnesshire, NE 05196",+1-871-474-2705x14449,COMP2402,Advanced Ethics and Standards,KB2Z1@UoNEHT.ac.uk,JR3Z1@UoNEHT.ac.uk,CM3Z1@UoNEHT.ac.uk,,43.0,29.0,
Edwin,Simpson,69309808,ES4Y25@UoNEHT.ac.uk,3,"75719 Melissa Rapids
New Jennafurt, VT 44247",935-796-2255x90208,COMP3407,Practical Software,MC1Z1@UoNEHT.ac.uk,,,46.0,11.0,,
Elizabeth,Smith,30296337,ES3Y25@UoNEHT.ac.uk,4,"678 Mccoy Terrace Apt. 321
West Chad, NC 80170",(326)354-1783,COMP4403,Theoretical Ethics and Standards,KH1Z1@UoNEHT.ac.uk,TG1Z1@UoNEHT.ac.uk,JS4Z1@UoNEHT.ac.uk,6.0,11.0,7.0,7.0
Paul,Davis,128417715,PD3Y25@UoNEHT.ac.uk,1,"71446 Russo Camp Apt. 809
East Rhondamouth, PW 53050",001-385-245-0380x46997,ENG1402,Basic Poetics,AH3Z1@UoNEHT.ac.uk,,,22.0,12.0,,
Nicholas,Green,75533197,NG4Y25@UoNEHT.ac.uk,2,,+1-420-650-3738x253,FINE2402,Prototypical Portraits,BK1Z1@UoNEHT.ac.uk,LM1Z1@UoNEHT.ac.uk,MS2Z1@UoNEHT.ac.uk,,10.0,27.0,23.0
Nancy,Wilson,5587666,NW1Y25@UoNEHT.ac.uk,4,"24237 Tracy Wall
Bakerberg, CO 89395",+1-488-608-3802x1453,FINE4404,Theoretical Landscapes,PG1Z1@UoNEHT.ac.uk,,,65.0,8.0,,
Danielle,Martinez,25414384,DM3Y25@UoNEHT.ac.uk,4,"189 John Place Apt. 809
Davidland, NM 62136",504-579-1654x2193,GER4404,Expert Rhetoric,JC1Z1@UoNEHT.ac.uk,,,,2.0,32.0,
Patty,Edwards,88367973,PE1Y25@UoNEHT.ac.uk,2,"39073 Stephens Junctions Suite 838
West Alicefort, NJ 20492",001-652-450-0419x69848,FREN2405,Intermediate French Grammar,TM2Z1@UoNEHT.ac.uk,,,,10.0,26.0,15.0
