faculty,building,room,capacity,lecturer_email,lecturer_firstname,lecturer_surname
Faculty of Technology,B66,R2008,40,GB1Z1@UoNEHT.ac.uk,Gordon,Butler
Faculty of Technology,B66,R2009,70,EP3Z1@UoNEHT.ac.uk,Edwin,Pennington
Faculty of Technology,B66,R2012,120,MN1Z1@UoNEHT.ac.uk,Mitchell,Nelson
Faculty of Technology,B66,R3022,120,RS2Z1@UoNEHT.ac.uk,Richard,Smith
Faculty of Technology,B66,R3023,330,ME1Z1@UoNEHT.ac.uk,Matthew,Edwards
Faculty of Technology,B66,R3025,390,MR2Z1@UoNEHT.ac.uk,Mark,Roberts
Faculty of Technology,B66,R3027,180,JG5Z1@UoNEHT.ac.uk,Joshua,Greene
Faculty of Technology,B66,R3027,180,JY2Z1@UoNEHT.ac.uk,Jamie,Yang
Faculty of Technology,B66,R3028,240,JJ5Z1@UoNEHT.ac.uk,Jessica,Johnson
Faculty of Technology,B67,R1008,180,JR5Z1@UoNEHT.ac.uk,James,Rodriguez
Faculty of Technology,B67,R2025,20,SM1Z1@UoNEHT.ac.uk,Steven,Mitchell
Faculty of Technology,B67,R2028,340,WR1Z1@UoNEHT.ac.uk,Warren,Richardson
Faculty of Technology,B67,R3034,350,JH2Z1@UoNEHT.ac.uk,Janet,Harrison
Faculty of Technology,B67,R3044,120,JL2Z1@UoNEHT.ac.uk,Jennifer,Little
Faculty of Technology,B67,R3051,370,JR3Z1@UoNEHT.ac.uk,Jeffrey,Rivera
Faculty of Technology,B67,R3055,310,RB2Z1@UoNEHT.ac.uk,Robert,Becker
Faculty of Technology,B67,R4063,120,EF1Z1@UoNEHT.ac.uk,Eric,Flores
Faculty of Technology,B67,R4078,280,MW1Z1@UoNEHT.ac.uk,Mary,Wilson
Faculty of Technology,B67,R5085,30,HH1Z1@UoNEHT.ac.uk,Hector,Hernandez
Faculty of Technology,B70,R1008,330,BR1Z1@UoNEHT.ac.uk,Brent,Romero
Faculty of Technology,B70,R3028,380,JY1Z1@UoNEHT.ac.uk,John,Young
Faculty of Technology,B70,R3030,80,RB2Z1@UoNEHT.ac.uk,Robert,Becker
Faculty of Technology,B70,R3031,70,DH2Z1@UoNEHT.ac.uk,Daniel,Harper
Faculty of Technology,B70,R3033,120,BR1Z1@UoNEHT.ac.uk,Brent,Romero
Faculty of Technology,B70,R7063,200,BR1Z1@UoNEHT.ac.uk,Brent,Romero
Faculty of Technology,B73,R2004,390,CD1Z1@UoNEHT.ac.uk,Christopher,Daniels
Faculty of Technology,B73,R2005,80,SB1Z1@UoNEHT.ac.uk,Steven,Ball
Faculty of Technology,B73,R2006,440,BC1Z1@UoNEHT.ac.uk,Brian,Contreras
Faculty of Technology,B73,R3010,290,JR5Z1@UoNEHT.ac.uk,James,Rodriguez
Faculty of Technology,B73,R4015,290,MC1Z1@UoNEHT.ac.uk,Matthew,Carpenter
Faculty of Technology,B73,R4016,450,RS2Z1@UoNEHT.ac.uk,Richard,Smith
Faculty of Technology,B73,R4017,460,RM1Z1@UoNEHT.ac.uk,Rebecca,Macdonald
Faculty of Technology,B78,R2019,130,LK1Z1@UoNEHT.ac.uk,Lindsay,King
Faculty of Technology,B78,R3025,370,TC1Z1@UoNEHT.ac.uk,Timothy,Collins
Faculty of Technology,B78,R3029,310,JB2Z1@UoNEHT.ac.uk,Jason,Brown
Faculty of Technology,B78,R4041,210,SW2Z1@UoNEHT.ac.uk,Scott,Woods
Faculty of Technology,B78,R4045,50,RM2Z1@UoNEHT.ac.uk,Richard,Martinez
Faculty of Technology,B7,R1002,260,SA2Z1@UoNEHT.ac.uk,Shannon,Acosta
Faculty of Technology,B7,R1003,410,SP1Z1@UoNEHT.ac.uk,Sean,Poole
Faculty of Technology,B86,R1005,70,AD4Z1@UoNEHT.ac.uk,Amy,Delacruz
Faculty of Technology,B86,R1013,180,AS2Z1@UoNEHT.ac.uk,Alan,Smith
Faculty of Technology,B86,R1016,410,LN1Z1@UoNEHT.ac.uk,Louis,Nelson
Faculty of Technology,B86,R1020,270,MM4Z1@UoNEHT.ac.uk,Mary,Miller
Faculty of Technology,B86,R1024,150,LA1Z1@UoNEHT.ac.uk,Lisa,Acevedo
Faculty of Technology,B86,R3032,80,AW1Z1@UoNEHT.ac.uk,Aaron,Weber
Faculty of Technology,B86,R3034,250,MC1Z1@UoNEHT.ac.uk,Matthew,Carpenter
Faculty of Technology,B86,R4035,490,KT1Z1@UoNEHT.ac.uk,Kevin,Tucker
Faculty of Technology,B86,R6040,190,LT1Z1@UoNEHT.ac.uk,Linda,Terry
Faculty of Technology,B86,R6041,180,EB1Z1@UoNEHT.ac.uk,Elizabeth,Brady
Faculty of Technology,B87,R2015,40,CJ1Z1@UoNEHT.ac.uk,Clifford,Johnson
Faculty of Technology,B87,R3020,360,SB1Z1@UoNEHT.ac.uk,Steven,Ball
Faculty of Technology,B87,R3023,440,JS3Z1@UoNEHT.ac.uk,Jared,Smith
Faculty of Technology,B87,R3028,30,JW2Z1@UoNEHT.ac.uk,John,Watts
Faculty of Technology,B87,R5057,160,KB2Z1@UoNEHT.ac.uk,Kathryn,Brown
Faculty of Technology,B87,R5063,490,MJ1Z1@UoNEHT.ac.uk,Megan,Jordan
Faculty of Technology,B87,R5064,360,ME1Z1@UoNEHT.ac.uk,Matthew,Edwards
Faculty of Technology,B87,R6067,230,CV1Z1@UoNEHT.ac.uk,Cody,Vargas
Faculty of Technology,B87,R7078,220,KH1Z1@UoNEHT.ac.uk,Keith,Hart
Faculty of Technology,B87,R7083,410,GW1Z1@UoNEHT.ac.uk,Gregory,Wilson
Faculty of Technology,B88,R1001,350,JC5Z1@UoNEHT.ac.uk,Jessica,Chandler
Faculty of Technology,B88,R1003,100,TH2Z1@UoNEHT.ac.uk,Tyler,Hudson
Faculty of Technology,B88,R3019,260,EL1Z1@UoNEHT.ac.uk,Elizabeth,Lamb
Faculty of Technology,B88,R3020,260,RM1Z1@UoNEHT.ac.uk,Rebecca,Macdonald
Faculty of Technology,B88,R3037,310,SW2Z1@UoNEHT.ac.uk,Scott,Woods
Faculty of Technology,B88,R4040,340,JD1Z1@UoNEHT.ac.uk,Jenna,Donaldson
Faculty of Technology,B88,R5048,290,JG6Z1@UoNEHT.ac.uk,Jonathan,George
Faculty of Technology,B88,R9078,100,GB1Z1@UoNEHT.ac.uk,Gordon,Butler
Faculty of Technology,B8,R1009,310,SP1Z1@UoNEHT.ac.uk,Sean,Poole
Faculty of Technology,B8,R1011,490,DP1Z1@UoNEHT.ac.uk,Denise,Payne
Faculty of Technology,B8,R1015,350,AK1Z1@UoNEHT.ac.uk,Amy,Kennedy
Faculty of Technology,B8,R3036,20,AK1Z1@UoNEHT.ac.uk,Amy,Kennedy
Faculty of Technology,B8,R3042,340,CM3Z1@UoNEHT.ac.uk,Chelsea,Maynard
Faculty of Technology,B8,R4051,490,KT1Z1@UoNEHT.ac.uk,Kevin,Tucker
Faculty of Technology,B8,R4055,80,CJ1Z1@UoNEHT.ac.uk,Clifford,Johnson
Faculty of Technology,B92,R1007,360,PG2Z1@UoNEHT.ac.uk,Patty,Gray
Faculty of Technology,B92,R1007,360,RB1Z1@UoNEHT.ac.uk,Robert,Burnett
Faculty of Technology,B92,R3013,460,CD1Z1@UoNEHT.ac.uk,Christopher,Daniels
Faculty of Technology,B92,R3014,460,DS7Z1@UoNEHT.ac.uk,Dana,Stephens
Faculty of Technology,B92,R3018,290,JS4Z1@UoNEHT.ac.uk,Jason,Smith
Faculty of Technology,B92,R3022,460,AS1Z1@UoNEHT.ac.uk,Amy,Suarez
Faculty of Technology,B92,R5029,190,SP1Z1@UoNEHT.ac.uk,Sean,Poole
Faculty of Technology,B95,R1012,320,JJ5Z1@UoNEHT.ac.uk,Jessica,Johnson
Faculty of Technology,B95,R1012,320,JW2Z1@UoNEHT.ac.uk,John,Watts
Faculty of Technology,B95,R1025,120,VB1Z1@UoNEHT.ac.uk,Vernon,Barr
Faculty of Technology,B95,R1030,370,LP1Z1@UoNEHT.ac.uk,Leslie,Petty
Faculty of Technology,B95,R1034,290,SM1Z1@UoNEHT.ac.uk,Steven,Mitchell
Faculty of Technology,B95,R3041,320,CM3Z1@UoNEHT.ac.uk,Chelsea,Maynard
Faculty of Technology,B95,R4058,120,TW4Z1@UoNEHT.ac.uk,Tina,Williams
Faculty of Technology,B95,R4069,230,KS4Z1@UoNEHT.ac.uk,Kimberly,Stevens
Faculty of Technology,B95,R5074,380,RS2Z1@UoNEHT.ac.uk,Richard,Smith
Faculty of Technology,B95,R5080,350,MM5Z1@UoNEHT.ac.uk,Michael,Mann
Faculty of Technology,B95,R5086,110,ME1Z1@UoNEHT.ac.uk,Matthew,Edwards
Faculty of Technology,B96,R1000,200,CE1Z1@UoNEHT.ac.uk,Christopher,Eaton
Faculty of Technology,B96,R2004,220,BR1Z1@UoNEHT.ac.uk,Brent,Romero
Faculty of Technology,B96,R2005,140,CS3Z1@UoNEHT.ac.uk,Carol,Snyder
Faculty of Technology,B96,R2005,140,DP1Z1@UoNEHT.ac.uk,Denise,Payne
Faculty of Technology,B96,R2015,130,TW1Z1@UoNEHT.ac.uk,Timothy,Wang
Faculty of Technology,B96,R2016,20,RM2Z1@UoNEHT.ac.uk,Richard,Martinez
Faculty of Technology,B96,R2018,450,RB1Z1@UoNEHT.ac.uk,Robert,Burnett
Faculty of Technology,B96,R4026,210,TA1Z1@UoNEHT.ac.uk,Tiffany,Alvarez
